City,Date,PM2.5,NO,NO2,NOx,CO,SO2,O3,AQI,AQI_Bucket
Bengaluru,2020-01-30,43.42,17.25,47.61,53.47,1.19,9.86,37.97,112.0,Moderate
Bengaluru,2020-01-31,46.36,5.39,37.62,35.68,1.05,8.97,47.97,111.0,Moderate
Bengaluru,2020-02-01,52.07,5.09,31.67,30.74,1.03,10.3,43.71,102.0,Moderate
Bengaluru,2020-02-02,35.27,4.24,24.1,23.37,0.81,6.12,39.98,94.0,Satisfactory
Bengaluru,2020-02-03,33.79,9.12,34.38,35.34,0.96,7.34,32.47,79.0,Satisfactory
Bengaluru,2020-02-04,29.27,7.82,32.2,33.89,1.0,6.81,32.0,82.0,Satisfactory
Bengaluru,2020-02-05,30.66,6.88,30.15,32.31,1.16,7.47,34.73,86.0,Satisfactory
Bengaluru,2020-02-06,43.83,7.34,35.14,37.61,1.11,6.93,41.55,96.0,Satisfactory
Bengaluru,2020-02-07,49.51,5.71,31.27,32.33,1.06,8.53,41.16,96.0,Satisfactory
Bengaluru,2020-02-08,45.3,5.64,30.49,30.83,0.95,7.2,38.36,105.0,Moderate
Bengaluru,2020-02-09,52.39,4.66,25.96,26.24,1.06,10.99,34.35,101.0,Moderate
Bengaluru,2020-02-10,35.53,5.3,26.2,26.76,1.09,8.07,32.75,103.0,Moderate
Bengaluru,2020-02-11,33.94,6.41,28.99,27.96,1.07,7.08,34.75,87.0,Satisfactory
Bengaluru,2020-02-12,32.82,6.23,28.34,27.32,0.93,7.06,34.6,80.0,Satisfactory
Bengaluru,2020-02-13,37.67,9.5,37.32,38.56,1.06,7.06,34.92,84.0,Satisfactory
Bengaluru,2020-02-14,50.47,15.25,46.46,49.0,1.29,6.98,45.01,111.0,Moderate
Bengaluru,2020-02-15,54.91,16.22,54.43,56.07,1.24,7.48,46.99,128.0,Moderate
Bengaluru,2020-02-16,45.02,6.18,36.76,32.5,0.99,8.14,49.12,120.0,Moderate
Bengaluru,2020-02-17,41.66,14.05,43.77,45.43,1.15,9.48,42.21,99.0,Satisfactory
Bengaluru,2020-02-18,43.29,6.85,42.79,38.88,1.07,7.44,47.44,103.0,Moderate
Bengaluru,2020-02-19,55.31,6.29,36.85,34.52,1.28,7.62,49.57,101.0,Moderate
Bengaluru,2020-02-20,47.86,7.98,33.04,34.36,1.06,5.97,38.42,94.0,Satisfactory
Bengaluru,2020-02-21,30.24,4.56,24.85,26.87,1.0,6.25,40.89,90.0,Satisfactory
Bengaluru,2020-02-22,33.96,4.67,23.75,26.23,0.98,6.62,37.76,78.0,Satisfactory
Bengaluru,2020-02-23,36.3,4.15,21.8,23.7,1.09,5.92,49.19,81.0,Satisfactory
Bengaluru,2020-02-24,35.6,5.07,25.61,28.15,1.01,5.93,43.59,82.0,Satisfactory
Bengaluru,2020-02-25,41.83,5.0,31.08,33.28,1.28,6.01,50.22,107.0,Moderate
Bengaluru,2020-02-26,47.39,5.03,27.21,30.32,0.97,5.38,36.49,104.0,Moderate
Bengaluru,2020-02-27,39.39,5.95,31.61,33.19,1.16,6.72,41.29,112.0,Moderate
Bengaluru,2020-02-28,42.58,5.36,26.77,29.54,1.06,6.75,46.4,98.0,Satisfactory
Bengaluru,2020-02-29,48.75,5.79,27.79,30.87,1.01,6.22,47.04,95.0,Satisfactory
Bengaluru,2020-03-01,56.2,3.51,21.91,21.37,0.98,7.09,49.93,101.0,Moderate
Bengaluru,2020-03-02,53.75,6.52,29.55,32.36,1.18,6.36,48.39,103.0,Moderate
Bengaluru,2020-03-03,70.78,8.97,32.33,35.82,1.27,6.96,61.01,137.0,Moderate
Bengaluru,2020-03-04,55.66,12.1,33.05,39.86,1.22,6.6,52.01,131.0,Moderate
Bengaluru,2020-03-05,57.89,6.09,28.68,30.95,1.04,7.21,53.06,117.0,Moderate
Bengaluru,2020-03-06,41.84,5.52,23.14,25.33,0.94,8.07,50.82,100.0,Satisfactory
Bengaluru,2020-03-07,44.33,5.26,26.8,28.22,0.98,7.12,37.49,93.0,Satisfactory
Bengaluru,2020-03-08,38.66,3.91,21.71,22.73,0.88,6.71,40.31,91.0,Satisfactory
Bengaluru,2020-03-09,38.88,4.74,23.26,24.69,0.99,7.41,45.57,99.0,Satisfactory
Bengaluru,2020-03-10,41.48,3.92,22.84,23.81,0.94,7.08,50.57,93.0,Satisfactory
Bengaluru,2020-03-11,39.57,4.86,25.62,27.1,0.96,8.25,50.73,95.0,Satisfactory
Bengaluru,2020-03-12,34.62,6.45,28.58,30.35,1.05,6.36,49.83,97.0,Satisfactory
Bengaluru,2020-03-13,34.77,6.76,27.42,30.03,0.93,7.36,42.26,90.0,Satisfactory
Bengaluru,2020-03-14,29.97,5.47,27.04,28.63,0.91,6.65,38.8,86.0,Satisfactory
Bengaluru,2020-03-15,33.96,4.07,22.19,23.19,0.92,6.97,49.32,88.0,Satisfactory
Bengaluru,2020-03-16,26.15,4.54,21.45,23.54,0.84,6.75,36.51,79.0,Satisfactory
Bengaluru,2020-03-17,24.15,4.75,19.78,22.33,0.86,7.01,31.85,77.0,Satisfactory
Bengaluru,2020-03-18,29.66,4.54,24.72,25.9,0.9,7.25,39.28,78.0,Satisfactory
Bengaluru,2020-03-19,38.15,4.96,26.49,27.94,0.93,7.97,55.4,91.0,Satisfactory
Bengaluru,2020-03-20,43.31,3.79,23.38,24.16,0.98,6.97,53.12,100.0,Satisfactory
Bengaluru,2020-03-21,40.62,6.2,31.05,32.76,1.06,6.75,59.91,103.0,Moderate
Bengaluru,2020-03-22,30.16,4.2,13.39,14.52,0.82,6.92,48.99,99.0,Satisfactory
Bengaluru,2020-03-23,40.28,4.01,20.12,20.75,1.05,6.03,42.02,85.0,Satisfactory
Bengaluru,2020-03-24,50.85,3.45,15.65,16.61,0.86,6.39,39.76,106.0,Moderate
Bengaluru,2020-03-25,25.25,2.62,9.73,11.41,0.76,7.92,38.24,70.0,Satisfactory
Bengaluru,2020-03-26,27.77,2.55,8.99,10.63,0.7,5.87,35.05,61.0,Satisfactory
Bengaluru,2020-03-27,27.47,3.22,9.44,11.22,0.85,6.49,35.6,67.0,Satisfactory
Bengaluru,2020-03-28,24.89,2.63,10.58,12.06,0.85,6.11,36.29,70.0,Satisfactory
Bengaluru,2020-03-29,28.45,2.99,12.22,14.05,0.85,6.37,37.19,66.0,Satisfactory
Bengaluru,2020-03-30,32.46,3.02,11.09,13.51,0.91,6.77,41.31,72.0,Satisfactory
Bengaluru,2020-03-31,22.01,2.9,10.09,11.79,0.83,5.11,42.69,68.0,Satisfactory
Bengaluru,2020-04-01,22.54,2.51,10.37,11.6,0.76,5.81,41.52,64.0,Satisfactory
Bengaluru,2020-04-02,27.12,2.43,9.58,10.93,0.86,5.56,46.12,70.0,Satisfactory
Bengaluru,2020-04-03,34.12,2.43,9.69,11.07,0.77,6.8,49.16,82.0,Satisfactory
Bengaluru,2020-04-04,31.93,2.43,9.23,10.79,0.72,6.51,43.88,74.0,Satisfactory
Bengaluru,2020-04-05,30.26,2.48,9.81,11.62,0.8,6.06,39.66,77.0,Satisfactory
Bengaluru,2020-04-06,22.68,2.34,11.52,11.77,0.71,4.44,42.79,65.0,Satisfactory
Bengaluru,2020-04-07,15.14,3.05,13.48,14.79,0.71,5.3,42.61,62.0,Satisfactory
Bengaluru,2020-04-08,18.39,2.74,13.73,14.46,0.72,5.55,52.65,67.0,Satisfactory
Bengaluru,2020-04-09,23.32,2.51,12.38,13.21,0.73,5.83,48.84,65.0,Satisfactory
Bengaluru,2020-04-10,30.06,3.98,11.5,11.44,0.67,6.1,47.67,76.0,Satisfactory
Bengaluru,2020-04-11,26.99,2.35,10.63,11.3,0.79,6.06,45.02,70.0,Satisfactory
Bengaluru,2020-04-12,22.38,2.68,11.74,12.7,0.72,4.78,47.0,64.0,Satisfactory
Bengaluru,2020-04-13,25.61,3.74,15.57,16.92,0.71,5.75,46.22,72.0,Satisfactory
Bengaluru,2020-04-14,30.24,3.61,15.73,16.73,0.69,6.34,46.63,72.0,Satisfactory
Bengaluru,2020-04-15,33.62,2.76,13.81,14.7,0.67,8.19,46.04,74.0,Satisfactory
Bengaluru,2020-04-16,25.27,2.65,12.73,13.63,0.73,6.55,43.3,66.0,Satisfactory
Bengaluru,2020-04-17,40.0,2.62,12.28,13.36,0.65,5.77,41.22,74.0,Satisfactory
Bengaluru,2020-04-18,34.03,2.53,11.74,12.25,0.72,5.59,39.05,94.0,Satisfactory
Bengaluru,2020-04-19,24.22,2.61,10.48,11.63,0.61,6.21,36.3,67.0,Satisfactory
Bengaluru,2020-04-20,19.42,2.57,10.76,11.72,0.55,6.75,32.7,53.0,Satisfactory
Bengaluru,2020-04-21,17.04,3.12,13.02,13.46,0.78,6.2,31.78,65.0,Satisfactory
Bengaluru,2020-04-22,19.95,2.71,10.17,11.49,0.68,6.79,34.71,71.0,Satisfactory
Bengaluru,2020-04-23,26.1,2.9,11.41,13.28,0.67,6.36,38.1,63.0,Satisfactory
Bengaluru,2020-04-24,26.25,3.38,13.05,15.61,0.75,6.54,34.36,69.0,Satisfactory
Bengaluru,2020-04-25,25.98,3.67,13.04,15.19,0.69,5.83,30.95,66.0,Satisfactory
Bengaluru,2020-04-26,21.32,3.03,11.76,13.11,0.82,5.47,37.25,61.0,Satisfactory
Bengaluru,2020-04-27,19.25,3.17,11.69,14.32,0.76,5.55,33.06,59.0,Satisfactory
Bengaluru,2020-04-28,20.74,2.71,11.24,13.01,0.79,5.86,33.9,71.0,Satisfactory
Bengaluru,2020-04-29,13.68,2.68,12.02,13.47,0.74,5.73,30.77,62.0,Satisfactory
Bengaluru,2020-04-30,20.3,4.21,15.27,17.17,0.75,5.45,32.26,61.0,Satisfactory
Bengaluru,2020-05-01,24.81,3.34,12.6,14.65,0.67,6.28,40.97,74.0,Satisfactory
Bengaluru,2020-05-02,18.36,3.13,14.26,15.24,0.8,6.19,38.88,72.0,Satisfactory
Bengaluru,2020-05-03,22.35,3.02,17.28,16.81,0.82,6.23,39.28,71.0,Satisfactory
Bengaluru,2020-05-04,26.1,2.7,18.88,17.75,0.86,7.16,42.46,79.0,Satisfactory
Bengaluru,2020-05-05,29.23,3.09,18.26,17.24,0.82,7.44,43.07,91.0,Satisfactory
Bengaluru,2020-05-06,23.02,2.81,17.4,16.58,0.93,6.85,38.88,85.0,Satisfactory
Bengaluru,2020-05-07,26.87,2.9,18.2,17.08,0.88,6.09,34.69,82.0,Satisfactory
Bengaluru,2020-05-08,17.61,3.0,16.86,16.68,0.77,7.14,31.87,73.0,Satisfactory
Bengaluru,2020-05-09,21.05,3.05,14.05,15.16,0.77,7.51,30.1,76.0,Satisfactory
Bengaluru,2020-05-10,24.29,3.02,13.18,13.74,0.77,6.93,34.13,78.0,Satisfactory
Bengaluru,2020-05-11,20.58,3.08,14.23,14.33,0.81,7.7,35.18,77.0,Satisfactory
Bengaluru,2020-05-12,15.43,3.19,14.13,14.61,0.73,6.05,26.07,82.0,Satisfactory
Bengaluru,2020-05-13,14.56,3.27,13.82,14.5,0.8,6.09,27.46,66.0,Satisfactory
Bengaluru,2020-05-14,24.81,3.9,15.82,16.02,0.74,6.12,33.15,66.0,Satisfactory
Bengaluru,2020-05-15,17.34,4.43,16.79,16.78,0.87,7.39,25.11,73.0,Satisfactory
Bengaluru,2020-05-16,23.44,3.89,18.22,17.24,0.96,7.06,32.49,74.0,Satisfactory
Bengaluru,2020-05-17,21.25,3.12,13.24,12.56,0.72,7.19,36.41,70.0,Satisfactory
Bengaluru,2020-05-18,16.82,7.57,12.91,11.92,0.85,6.14,35.55,68.0,Satisfactory
Bengaluru,2020-05-19,23.81,3.75,13.11,13.59,0.73,5.67,27.88,72.0,Satisfactory
Bengaluru,2020-05-20,17.9,4.3,13.77,15.4,0.72,6.05,26.03,79.0,Satisfactory
Bengaluru,2020-05-21,19.53,4.38,14.59,16.17,0.74,5.8,26.55,70.0,Satisfactory
Bengaluru,2020-05-22,18.13,4.32,15.13,16.51,0.79,5.59,34.42,68.0,Satisfactory
Bengaluru,2020-05-23,19.52,3.49,15.05,15.53,0.72,6.29,39.84,72.0,Satisfactory
Bengaluru,2020-05-24,18.62,3.28,13.03,13.26,0.59,5.64,27.7,66.0,Satisfactory
Bengaluru,2020-05-25,21.06,3.88,16.82,17.08,0.7,5.81,33.26,70.0,Satisfactory
Bengaluru,2020-05-26,22.25,4.18,16.47,16.95,0.76,6.38,34.72,66.0,Satisfactory
Bengaluru,2020-05-27,19.81,4.73,18.54,18.77,0.92,6.03,26.83,75.0,Satisfactory
Bengaluru,2020-05-28,28.46,4.48,14.85,16.36,0.66,6.24,27.7,74.0,Satisfactory
Bengaluru,2020-05-29,23.16,5.1,15.72,17.14,0.7,6.48,25.16,66.0,Satisfactory
Bengaluru,2020-05-30,15.87,4.12,18.27,17.45,0.74,6.27,24.01,72.0,Satisfactory
Bengaluru,2020-05-31,23.32,2.39,11.58,10.32,0.84,7.01,25.66,61.0,Satisfactory
Bengaluru,2020-06-01,9.16,2.64,9.72,9.4,0.6,6.78,20.96,49.0,Good
Bengaluru,2020-06-02,8.95,3.09,9.76,10.18,0.57,6.65,17.46,40.0,Good
Bengaluru,2020-06-03,9.69,4.22,9.78,10.9,0.6,6.85,19.62,42.0,Good
Bengaluru,2020-06-04,10.91,7.19,11.51,13.01,0.62,6.94,17.73,43.0,Good
Bengaluru,2020-06-05,22.88,3.88,19.65,18.98,0.66,7.12,18.92,55.0,Satisfactory
Bengaluru,2020-06-06,18.18,4.61,17.1,16.43,0.6,7.16,18.22,55.0,Satisfactory
Bengaluru,2020-06-07,17.6,3.45,13.32,12.94,0.57,7.11,14.91,55.0,Satisfactory
Bengaluru,2020-06-08,20.16,4.64,15.31,15.43,0.65,6.88,16.9,55.0,Satisfactory
Bengaluru,2020-06-09,21.7,4.65,15.48,16.43,0.62,6.99,16.73,58.0,Satisfactory
Bengaluru,2020-06-10,25.44,11.1,15.98,17.72,0.66,6.92,15.65,70.0,Satisfactory
Bengaluru,2020-06-11,16.53,5.74,14.7,16.75,0.67,6.99,12.9,59.0,Satisfactory
Bengaluru,2020-06-12,16.84,5.17,13.83,15.48,0.64,7.2,15.56,49.0,Good
Bengaluru,2020-06-13,16.79,5.42,14.67,16.68,0.72,7.33,15.52,50.0,Good
Bengaluru,2020-06-14,16.66,4.77,12.31,14.6,0.56,6.86,13.54,49.0,Good
Bengaluru,2020-06-15,19.57,5.15,13.01,15.5,0.62,7.68,16.22,47.0,Good
Bengaluru,2020-06-16,17.07,5.16,13.32,15.94,0.6,7.21,16.51,55.0,Satisfactory
Bengaluru,2020-06-17,18.29,5.9,14.1,17.22,0.65,7.74,13.01,57.0,Satisfactory
Bengaluru,2020-06-18,28.32,5.57,13.98,16.54,0.73,7.27,12.63,65.0,Satisfactory
Bengaluru,2020-06-19,21.55,4.82,13.87,15.89,0.66,7.22,12.34,65.0,Satisfactory
Bengaluru,2020-06-20,18.32,4.48,13.62,14.97,0.66,7.81,14.16,56.0,Satisfactory
Bengaluru,2020-06-21,18.18,4.6,12.45,14.83,0.54,7.47,13.37,52.0,Satisfactory
Bengaluru,2020-06-22,15.65,5.59,14.45,17.28,0.62,7.18,13.04,49.0,Good
Bengaluru,2020-06-23,20.38,5.16,14.6,17.11,0.62,6.98,17.72,56.0,Satisfactory
Bengaluru,2020-06-24,19.72,5.41,14.61,16.98,0.61,6.86,18.26,63.0,Satisfactory
Bengaluru,2020-06-25,16.93,6.01,17.67,19.1,0.74,7.73,19.58,63.0,Satisfactory
Bengaluru,2020-06-26,15.4,4.42,14.29,15.57,0.61,7.45,19.53,58.0,Satisfactory
Bengaluru,2020-06-27,16.6,3.06,13.68,13.07,0.67,7.29,15.69,51.0,Satisfactory
Bengaluru,2020-06-28,20.44,2.69,10.33,10.58,0.66,6.6,17.59,61.0,Satisfactory
Bengaluru,2020-06-29,28.68,3.62,12.12,12.94,0.56,6.33,16.99,65.0,Satisfactory
Bengaluru,2020-06-30,14.47,4.61,12.69,15.0,0.56,6.45,16.08,63.0,Satisfactory
Bengaluru,2020-07-01,17.5,3.95,13.25,14.83,0.54,6.66,15.4,43.0,Good
